"client_id","age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","subscribe"
29925,42,"management","married","basic.9y","no","no","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,0
37529,35,"unemployed","married","university.degree","no","yes","no","telephone","jun","mon",4,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,0
2757,44,"technician","married","basic.9y","no","yes","yes","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.264,5099.1,0
9642,45,"services","married","high.school","no","yes","no","cellular","apr","tue",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.453,5099.1,0
14183,45,"unknown","married","unknown","unknown","unknown","unknown","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,0
15180,38,"technician","married","professional.course","no","no","no","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
27168,33,"technician","married","professional.course","no","no","yes","cellular","apr","fri",1,NA,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,1
9097,38,"blue-collar","single","basic.9y","unknown","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
30538,29,"blue-collar","single","unknown","no","yes","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.25,5099.1,0
28981,34,"admin.","divorced","university.degree","no","yes","yes","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,0
7989,47,"blue-collar","married","high.school","unknown","yes","no","telephone","jun","mon",3,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,0
13536,30,"blue-collar","single","basic.9y","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
24541,30,"admin.","married","basic.6y","no","yes","no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.958,5228.1,0
6216,35,"services","married","basic.6y","unknown","yes","no","cellular","may","tue",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.344,5099.1,0
17983,45,"management","married","professional.course","no","no","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,1
29394,37,"entrepreneur","married","university.degree","unknown","yes","no","cellular","nov","mon",2,999,1,"failure",-0.1,93.2,-42,4.191,5195.8,0
28825,48,"blue-collar","married","basic.6y","no","no","no","telephone","jun","thu",2,999,0,"nonexistent",1.4,94.465,-41.8,4.866,5228.1,0
41,47,"admin.","married","basic.6y","unknown","yes","no","cellular","apr","thu",2,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,0
7284,35,"blue-collar","married","basic.9y","no","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
28502,34,"technician","married","professional.course","no","no","no","cellular","apr","mon",3,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,0
11473,60,"technician","married","university.degree","unknown","yes","no","telephone","may","fri",5,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,0
6134,35,"services","single","high.school","no","no","no","cellular","may","wed",2,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,0
33523,32,"technician","married","university.degree","no","yes","no","cellular","may","wed",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.281,5099.1,0
21812,49,"blue-collar","married","unknown","unknown","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
39895,45,"technician","single","professional.course","no","no","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
9326,33,"blue-collar","single","basic.9y","unknown","yes","no","telephone","jun","mon",4,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,0
26510,34,"management","single","university.degree","no","unknown","unknown","telephone","nov","fri",5,999,0,"nonexistent",-0.1,93.2,-42,4.021,5195.8,0
20960,57,"retired","married","university.degree","no","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,0
14403,50,"technician","single","professional.course","no","no","yes","cellular","jul","mon",8,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
28799,49,"housemaid","married","university.degree","no","yes","no","cellular","aug","wed",2,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,0
26836,41,"admin.","single","university.degree","no","no","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,0
12049,37,"blue-collar","divorced","basic.4y","unknown","yes","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,0
15150,37,"services",NA,"high.school","no","no","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
5027,44,"technician","married","professional.course","unknown","yes","no","telephone","may","fri",7,999,0,"nonexistent",1.1,93.994,-36.4,4.864,5191,0
32606,30,"technician","married","professional.course","no","no","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,0
16152,44,"blue-collar","single","high.school","no","yes","no","telephone","may","thu",2,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,0
14215,33,"management","married","high.school","unknown","yes","no","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,0
14287,35,"admin.","single","university.degree","unknown",NA,"no","cellular","jul","thu",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,0
23194,30,"technician","single","high.school","no","no","no","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.97,5228.1,0
24558,40,"services","married","high.school",NA,"yes","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,0
14491,66,"retired","married","unknown","no","no","no","cellular","sep","tue",1,NA,1,"failure",-1.1,94.199,-37.5,0.881,4963.6,0
17413,33,"housemaid","unknown","university.degree","no","no","no","cellular","jun","tue",3,999,0,"nonexistent",-2.9,92.963,-40.8,1.262,5076.2,0
